GATE_DL_AL: 3359.59><284.5665><2347.882><145.2796><1><Dustbowl
DL_27: -519.4094><464.5665><-146.1174><483.2796><2><Conurbation
DL_28: -711.4094><-447.4335><-382.1173><-116.7204><0><Dustbowl
DL_29: 2141.59><920.5665><1373.882><849.2796><2><Dustbowl
DL_30: 2657.59><356.5665><1795.882><225.2796><2><Dustbowl
DL_32: -801.4094><380.5665><-472.1173><415.2796><1><Conurbation
DL_33: -2301.41><-234.4335><-1548.118><-64.72038><0><
DL_S33: -2388.41><-310.9335><-1562.118><-164.7204><1><
DL_34: -2319.41><17.56648><-1708.118><-76.72038><0><Mountain Pass
DL_35: -2682.41><8.566477><-1986.118><-102.7204><0><Mountain Pass
DL_36: -3123.41><113.5665><-2266.118><-44.72038><0><Mountain Pass
DL_37: 122.5907><-573.4335><119.8827><-326.7204><0><
DL_38: 1189.09><-297.4335><837.8826><-162.7204><0><
DL_39: -420.4093><191.5665><-58.11732><237.2796><2><
DL_40: -789.4094><-276.4335><-288.1173><-6.720378><1><
DL_41: -1755.41><-190.9335><-1150.708><-167.4662><0><Conurbation
DL_42: -1890.41><65.56647><-1084.118><-0.7203782><0><Conurbation
DL_44: -537.4094><-645.4335><-426.1173><-506.7204><0><
DL_45: -948.4094><-708.4335><-536.1174><-500.7204><1><
DL_46: 74.59068><-679.9335><-100.7098><-463.4664><0><
DL_49: 218.5907><-985.9335><-134.1174><-802.7204><0><Subway Caverns
DL_50: -1422.41><-831.4335><-828.1174><-694.7204><1><
DL_52: -525.4094><-1032.434><-546.1174><-802.7204><0><Subway Caverns
DL_56: 2156.59><674.5665><1507.882><577.2796><2><Dustbowl
DL_55: 992.5902><-978.4335><383.8827><-776.7204><0><Subway Caverns
DL_09: 146.5907><-384.4335><225.8826><-160.7204><0><Dustbowl
DL_START: -357.4093><108.5665><-120.1173><-72.72038><1><
DL_58: -168.4093><476.5665><45.88267><477.2796><0><
DL_12: -888.4094><32.56648><-562.1174><101.2796><0><Conurbation
DL_57: 398.5907><416.5665><139.8826><417.2796><1><Dustbowl
DL_61: 812.5906><581.5665><483.8827><607.2796><0><Dustbowl
DL_60: -339.4093><589.0665><-30.11732><569.2796><0><Conurbation
DL_62: 1499.59><605.5665><1051.882><759.2796><1><Dustbowl
DL_02: -1335.41><1261.066><-724.1174><853.2796><0><Conurbation
DL_SHAFT: 1517.59><-132.4335><1087.882><-652.7204><0><
DL_13TEXNEW: 1136.59><346.0665><779.8826><461.2796><0><
DL_31: -1398.41><-276.4335><-850.1174><-172.7204><0><
DL_HALLWAY01: -1188.41><395.5665><-812.1174><413.2796><0><
DL_HALLWAY02: -1182.41><647.5665><-730.1174><545.2796><0><
OFFSCREENDEN_DL: -2071.999><1123.816><-1214.708><692.5336><1><
GATE_DL_AU: 2238><-1075.5><1367.882><-916.7204><1><
DL_TRAIN06: -1389><-1318.5><-879.7467><-929.2358><1><
DL_TRAIN05: -906><-1321.5><-646.2408><-930.2057><1><
DL_54: 102><-1528.5><-98.11735><-1154.721><0><Subway Caverns
DL_TRAIN04: -321><-1321.5><-327.6852><-932.3399><1><
DL_TRAIN03: 496.5><-1327.5><81.0476><-931.9057><0><
DL_TRAIN02: 1401><-1318.5><582.6154><-933.6492><0><
Connection: GATE_DL_AL,DL_22,2,11,113,12,2,0
Connection: DL_01,DL_42,95,63,3,6,1,2
Connection: DL_01,DL_33,2,6,50,12,2,0
Connection: DL_01,DL_41,97,6,2,5,0,2
Connection: DL_S12,DL_12,19,21,157,6,2,0
Connection: DL_03,DL_04,29,31,58,9,0,2
Connection: DL_03,DL_42,31,18,41,31,0,1
Connection: DL_04,DL_05,97,66,2,32,3,2
Connection: DL_05,DL_06,45,106,23,10,0,0
Connection: DL_05,DL_HALLWAY02,34,64,8,26,1,2
Connection: DL_05,DL_HALLWAY01,45,17,8,9,0,2
Connection: DL_06,DL_02,39,73,27,10,1,2
Connection: DL_06,DL_07,57,3,4,30,3,1
Connection: DL_07,DL_HALLWAY02,4,19,51,15,2,0
Connection: DL_07,DL_26,2,8,7,20,2,2
Connection: DL_08,DL_21,165,8,27,14,0,2
Connection: DL_08,DL_14,10,9,162,9,3,0
Connection: DL_08,DL_18,85,4,60,27,3,2
Connection: DL_59,DL_10,16,54,259,33,2,0
Connection: DL_59,DL_09,83,49,201,47,3,0
Connection: DL_59,DL_13TEXNEW,167,50,87,17,3,3
Connection: DL_59,DL_11,13,15,44,31,2,1
Connection: DL_10,DL_39,76,38,41,10,2,0
Connection: DL_10,DL_12,9,21,165,27,2,0
Connection: DL_10,DL_11,221,14,3,32,0,1
Connection: DL_11,DL_25,1,5,64,21,2,0
Connection: DL_S13,DL_13TEXNEW,14,29,85,52,2,0
Connection: DL_14,DL_19,156,71,44,9,0,2
Connection: DL_14,DL_16,64,4,27,68,3,0
Connection: DL_15,DL_28,6,36,120,23,2,0
Connection: DL_15,DL_09,64,25,4,67,0,2
Connection: DL_16,DL_24,4,59,43,23,2,0
Connection: DL_16,DL_38,44,39,4,10,0,2
Connection: DL_16,DL_17,22,4,11,26,3,1
Connection: DL_18,DL_38,4,17,118,13,2,0
Connection: DL_19,DL_62,5,100,60,16,2,0
Connection: DL_19,DL_56,166,87,16,5,1,0
Connection: DL_19,DL_20,153,12,3,9,3,2
Connection: DL_20,DL_56,2,67,31,5,2,2
Connection: DL_20,DL_30,93,30,10,6,3,3
Connection: DL_21,DL_22,303,17,48,24,0,3
Connection: DL_22,DL_30,2,58,91,67,2,0
Connection: DL_22,DL_S22,119,51,40,58,0,3
Connection: DL_23,DL_02,36,17,24,64,3,1
Connection: DL_24,DL_37,10,7,115,22,2,0
Connection: DL_24,DL_S24,27,6,23,25,3,1
Connection: DL_25,DL_40,9,30,42,13,1,0
Connection: DL_25,DL_44,6,11,54,75,2,1
Connection: DL_26,DL_S26,10,8,40,18,2,0
Connection: DL_26,DL_27,33,5,14,26,2,0
Connection: DL_27,DL_58,43,15,6,10,3,2
Connection: DL_27,DL_39,26,3,6,99,0,2
Connection: DL_28,DL_12,4,16,95,5,2,3
Connection: DL_29,DL_56,34,7,16,110,3,0
Connection: DL_32,DL_12,97,30,166,109,0,0
Connection: DL_32,DL_HALLWAY01,2,4,93,5,2,0
Connection: DL_33,DL_34,33,30,44,19,1,0
Connection: DL_33,DL_S33,28,12,31,27,2,0
Connection: DL_34,DL_35,11,30,121,35,2,0
Connection: DL_35,DL_36,12,51,129,12,2,0
Connection: DL_36,DL_START,20,15,107,6,2,3
Connection: DL_37,DL_44,7,8,102,58,2,0
Connection: DL_37,DL_46,77,2,90,32,2,1
Connection: DL_39,DL_12,5,8,165,50,2,0
Connection: DL_40,DL_12,9,32,109,15,1,3
Connection: DL_41,DL_31,45,20,9,96,0,2
Connection: DL_44,DL_31,5,70,88,96,2,0
Connection: DL_44,DL_45,4,16,39,12,2,0
Connection: DL_44,DL_46,112,10,1,8,0,2
Connection: DL_46,DL_49,70,8,87,153,3,1
Connection: DL_49,DL_55,223,49,11,140,0,2
Connection: DL_49,DL_52,12,9,160,107,2,0
Connection: DL_50,DL_31,32,155,41,4,1,3
Connection: DL_50,DL_TRAIN06,32,5,31,25,3,1
Connection: DL_52,DL_54,146,11,12,73,3,2
Connection: DL_55,DL_54,11,34,201,12,2,0
Connection: DL_58,DL_60,17,25,43,8,1,0
Connection: DL_58,DL_57,91,11,5,62,0,2
Connection: DL_12,DL_31,9,11,88,138,2,0
Connection: DL_57,DL_61,201,38,28,10,1,3
Connection: DL_61,DL_13TEXNEW,118,19,17,72,0,2
Connection: DL_62,DL_SHAFT,33,58,35,347,3,1
Connection: DL_62,DL_13TEXNEW,10,16,91,81,2,3
Connection: DL_HALLWAY01,DL_HALLWAY02,80,31,36,3,1,3
Connection: DL_TRAIN02,DL_TRAIN03,10,13,233,12,2,0
Connection: DL_TRAIN03,DL_TRAIN04,7,12,191,12,2,0
Connection: DL_TRAIN04,DL_TRAIN05,8,6,135,6,2,0
Connection: DL_TRAIN05,DL_TRAIN06,5,6,88,6,2,0
